Provider Name,County,State,Ownership Type,More than one infection-control deficiency
ON WITH LIFE,Polk,IA,Non profit,
TRINITY CENTER AT LUTHER PARK,Polk,IA,Non profit,
PREMIER ESTATES OF TOLEDO,Tama,IA,For profit,
WASHINGTON COUNTY HOSPITAL,Washington,IA,Government,
AVAMERE TRANSITIONAL CARE & REHAB - BOISE,Ada,ID,For profit,YES
NORTHWOODS CARE CENTRE,Boone,IL,For profit,
CARLYLE HEALTHCARE CENTER,Clinton,IL,For profit,YES
"ADMIRAL AT THE LAKE, THE",Cook,IL,Non profit,YES
ALDEN ESTATES OF ORLAND PARK,Cook,IL,For profit,YES
ALDEN LAKELAND REHAB & HCC,Cook,IL,For profit,
ALDEN NORTH SHORE REHAB & HCC,Cook,IL,For profit,
APERION CARE BURBANK,Cook,IL,For profit,
APERION CARE CHICAGO HEIGHTS,Cook,IL,For profit,
APERION CARE DOLTON,Cook,IL,For profit,
APERION CARE EVANSTON,Cook,IL,For profit,
APERION CARE FOREST PARK,Cook,IL,For profit,YES
APERION CARE WEST RIDGE,Cook,IL,For profit,YES
ARBOUR HEALTH CARE CENTER,Cook,IL,For profit,
ASTORIA PLACE LIVING & REHAB,Cook,IL,Non profit,
"AUSTIN OASIS, THE",Cook,IL,For profit,YES
AVANTARA EVERGREEN PARK,Cook,IL,For profit,YES
AVANTI WELLNESS & REHAB,Cook,IL,For profit,YES
BELHAVEN NURSING & REHAB CENTER,Cook,IL,For profit,YES
BELLA TERRA MORTON GROVE,Cook,IL,For profit,YES
BIRCHWOOD PLAZA,Cook,IL,For profit,
BRIA OF CHICAGO HEIGHTS,Cook,IL,For profit,YES
BRIA OF FOREST EDGE,Cook,IL,For profit,
BRIDGEVIEW HEALTH CARE CENTER,Cook,IL,For profit,YES
CALIFORNIA GARDENS N & REHAB C,Cook,IL,For profit,YES
"CARLTON AT THE LAKE, THE",Cook,IL,For profit,YES
CENTER HOME HISPANIC ELDERLY,Cook,IL,For profit,YES
CHICAGO RIDGE NURSING CENTER,Cook,IL,For profit,YES
CITY VIEW MULTICARE CENTER,Cook,IL,For profit,
COMMUNITY CARE CENTER,Cook,IL,For profit,YES
ELEVATE CARE CHICAGO NORTH,Cook,IL,For profit,YES
"ESTATES OF HYDE PARK, THE",Cook,IL,For profit,
GENERATIONS AT APPLEWOOD,Cook,IL,For profit,YES
GENERATIONS AT ELMWOOD PARK,Cook,IL,For profit,YES
GENERATIONS AT REGENCY,Cook,IL,For profit,YES
GENERATIONS OAKTON PAVILLION,Cook,IL,For profit,
GLENVIEW TERRACE NURSING CTR,Cook,IL,For profit,
HOLY FAMILY VILLA,Cook,IL,Non profit,YES
LAKEVIEW REHAB & NURSING CENTER,Cook,IL,For profit,YES
LANDMARK OF DES PLAINES REHAB,Cook,IL,For profit,YES
LEMONT NURSING & REHAB CENTER,Cook,IL,For profit,YES
LEXINGTON OF CHICAGO RIDGE,Cook,IL,For profit,
LEXINGTON OF ORLAND PARK,Cook,IL,For profit,YES
LIEBERMAN CENTER FOR HEALTH & REHAB,Cook,IL,Non profit,YES
LINCOLNWOOD PLACE,Cook,IL,For profit,
LITTLE VILLAGE NRSG & RHB CTR,Cook,IL,For profit,
MANORCARE OF HOMEWOOD,Cook,IL,Non profit,YES
MANORCARE OF OAK LAWN EAST,Cook,IL,Non profit,
MANORCARE OF OAK LAWN WEST,Cook,IL,Non profit,YES
MANORCARE OF PALOS HEIGHTS EAST,Cook,IL,Non profit,YES
MANORCARE OF PALOS HEIGHTS WEST,Cook,IL,Non profit,YES
MIDWAY NEUROLOGICAL / REHAB CENTER,Cook,IL,For profit,YES
MONTGOMERY PLACE,Cook,IL,Non profit,
NILES NSG & REHAB CTR,Cook,IL,For profit,
NORRIDGE GARDENS,Cook,IL,For profit,
PARK VIEW REHAB CENTER,Cook,IL,For profit,YES
PERSHING GARDENS HEALTHCARE CENTER,Cook,IL,For profit,
PRAIRIE MANOR NRSG & REHAB CTR,Cook,IL,For profit,YES
PRAIRIE OASIS,Cook,IL,For profit,YES
PRESENCE MARYHAVEN NSG & REHAB,Cook,IL,Non profit,
SELFHELP HOME OF CHICAGO,Cook,IL,Non profit,
SHERIDAN VILLAGE NRSG & RHB,Cook,IL,For profit,YES
SMITH VILLAGE,Cook,IL,Non profit,
SOUTHVIEW MANOR,Cook,IL,For profit,
SYMPHONY AT 87TH STREET,Cook,IL,For profit,YES
SYMPHONY AT ARIA,Cook,IL,For profit,YES
SYMPHONY EVANSTON HEALTHCARE,Cook,IL,For profit,
SYMPHONY OF BRONZEVILLE,Cook,IL,For profit,YES
SYMPHONY OF CHICAGO WEST,Cook,IL,For profit,YES
SYMPHONY OF CRESTWOOD,Cook,IL,For profit,
SYMPHONY OF LINCOLN PARK,Cook,IL,For profit,YES
SYMPHONY OF SOUTH SHORE,Cook,IL,For profit,YES
UPTOWN HEALTH CENTER,Cook,IL,For profit,YES
VI AT THE GLEN,Cook,IL,For profit,
VILLA AT WINDSOR PARK,Cook,IL,For profit,YES
WARREN BARR LINCOLN PARK,Cook,IL,For profit,
WESTCHESTER HEALTH & REHABILITATION,Cook,IL,For profit,YES
WESTMINSTER PLACE,Cook,IL,Non profit,
"WESTWOOD MANOR, THE",Cook,IL,For profit,YES
WINDSOR ESTATES NSG & REHAB,Cook,IL,For profit,YES
WINSTON MANOR CNV & NURSING,Cook,IL,For profit,
ALDEN ESTATES OF NAPERVILLE,Du Page,IL,For profit,YES
APERION CARE WEST CHICAGO,Du Page,IL,For profit,YES
BRIA OF WESTMONT,Du Page,IL,For profit,YES
BRIDGEWAY SENIOR LIVING,Du Page,IL,For profit,YES
BROOKDALE BURR RIDGE,Du Page,IL,For profit,
BURGESS SQUARE HEALTHCARE CTR,Du Page,IL,For profit,
CHATEAU NRSG & REHAB CENTER,Du Page,IL,For profit,YES
COVENANT LIVING - WINDSOR PARK,Du Page,IL,Non profit,
FOREST VIEW REHAB & NURSING CENTER,Du Page,IL,For profit,YES
LEXINGTON HLTH CR CTR-BLMNGDL,Du Page,IL,For profit,
LEXINGTON HLTH CR CTR-LOMBARD,Du Page,IL,For profit,YES
LEXINGTON OF ELMHURST,Du Page,IL,For profit,YES
MANORCARE OF HINSDALE,Du Page,IL,Non profit,YES
OAK BROOK CARE,Du Page,IL,For profit,
PARK PLACE CHRISTIAN COMMUNITY,Du Page,IL,For profit,
PROVIDENCE DOWNERS GROVE,Du Page,IL,Non profit,YES
TABOR HILLS HEALTH CARE FAC,Du Page,IL,Non profit,
WHEATON VILLAGE NRSG & RHB CTR,Du Page,IL,For profit,YES
MANOR COURT OF CARBONDALE,Jackson,IL,Non profit,YES
NEWTON CARE CENTER,Jasper,IL,For profit,
GALENA STAUSS NURSING HOME,Jo Daviess,IL,Non profit,
ELMWOOD TERRACE HEALTHCARE CTR,Kane,IL,For profit,YES
FOX RIVER REHAB & HEALTHCARE,Kane,IL,For profit,YES
APERION CARE BRADLEY,Kankakee,IL,For profit,YES
MILLER HEALTH CARE CENTER,Kankakee,IL,Non profit,YES
CLARIDGE HEALTHCARE CENTER,Lake,IL,For profit,YES
ELEVATE CARE RIVERWOODS,Lake,IL,For profit,YES
ELEVATE CARE WAUKEGAN,Lake,IL,For profit,YES
"GROVE AT THE LAKE,THE",Lake,IL,For profit,YES
LAKE FOREST PLACE,Lake,IL,For profit,
LEXINGTON OF LAKE ZURICH,Lake,IL,For profit,YES
RADFORD GREEN,Lake,IL,For profit,YES
ROLLING HILLS MANOR,Lake,IL,Non profit,YES
"TERRACE NURSING HOME,THE",Lake,IL,For profit,YES
"VILLAGE AT VICTORY LAKES, THE",Lake,IL,Non profit,YES
WARREN BARR NORTH SHORE,Lake,IL,For profit,YES
WAUCONDA CARE,Lake,IL,For profit,YES
"WHITEHALL NORTH, THE",Lake,IL,For profit,YES
WINCHESTER HOUSE,Lake,IL,For profit,YES
FAIR HAVENS SENIOR LIVING,Macon,IL,For profit,
EDWARDSVILLE NSG & REHAB CTR,Madison,IL,For profit,YES
STEARNS NURSING & REHAB CENTER,Madison,IL,For profit,YES
ALDEN TERRACE OF MCHENRY REHAB,Mc Henry,IL,For profit,YES
LUTHER OAKS,Mc Lean,IL,Non profit,
CENTENNIAL REHAB & HEALTHCARE,Rock Island,IL,For profit,
GENERATIONS AT ROCK ISLAND,Rock Island,IL,For profit,YES
HOPE CREEK CARE CENTER,Rock Island,IL,Government,YES
BRIA OF BELLEVILLE,St. Clair,IL,For profit,YES
MEMORIAL CARE CENTER,St. Clair,IL,For profit,
GENERATIONS AT RIVERVIEW,Tazewell,IL,For profit,YES
LAKEWOOD NRSG & REHAB CENTER,Will,IL,For profit,YES
MEADOWBROOK MANOR,Will,IL,For profit,YES
PARC JOLIET,Will,IL,For profit,
PRESENCE VILLA FRANCISCAN,Will,IL,Non profit,YES
ST JAMES WELLNESS REHAB VILLAS,Will,IL,For profit,
SUNNY HILL NURSING HOME OF WILL COUNTY,Will,IL,Government,YES
SYMPHONY OF JOLIET,Will,IL,For profit,YES
ALDEN DEBES REHAB & HCC,Winnebago,IL,For profit,YES
LIFE CARE CENTER OF FORT WAYNE,Allen,IN,For profit,
OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,Johnson,IN,Non profit,
MITCHELL MANOR,Lawrence,IN,Non profit,
BETHANY POINTE HEALTH CAMPUS,Madison,IN,For profit,
SIGNATURE HEALTHCARE OF NEWBURGH,Warrick,IN,For profit,YES
LIFE CARE CENTER OF BURLINGTON,Coffey,KS,For profit,YES
"BIG BLUE HEALTHCARE, INC, DBA RIVERBEND POST ACUTE",Wyandotte,KS,For profit,YES
LIFE CARE CENTER OF KANSAS CITY,Wyandotte,KS,For profit,
SIGNATURE HEALTHCARE AT SUMMIT MANOR REHAB & WELLN,Adair,KY,For profit,YES
MORGANTOWN CARE & REHABILITATION CENTER,Butler,KY,For profit,
COLDSPRING TRANSITIONAL CARE CENTER,Campbell,KY,For profit,YES
GRANT CENTER,Grant,KY,For profit,
HENDERSON NURSING AND REHABILITATION CENTER,Henderson,KY,For profit,
RIDGEWOOD TERRACE NURSING HOME,Hopkins,KY,For profit,
SIGNATURE HEALTHCARE AT JACKSON MANOR REHAB & WELL,Jackson,KY,For profit,YES
NAZARETH HOME,Jefferson,KY,For profit,
TREYTON OAK TOWERS,Jefferson,KY,Non profit,
ROSEDALE GREEN,Kenton,KY,Non profit,
RIVER'S BEND RETIREMENT COMMUNITY,Lyon,KY,Non profit,
CHATEAU D'VILLE REHAB AND RETIREMENT,Ascension,LA,For profit,YES
COLONIAL NURSING HOME,Avoyelles,LA,For profit,
VIVIAN HEALTHCARE CENTER,Caddo,LA,For profit,
FLANNERY OAKS GUEST HOUSE,E. Baton Rouge,LA,For profit,
OLLIE STEELE BURDEN MANOR,E. Baton Rouge,LA,Non profit,
ST JAMES PLACE NURSING CARE CENTER,E. Baton Rouge,LA,Non profit,YES
MARRERO HEALTHCARE CENTER,Jefferson,LA,For profit,
ST ANTHONY'S NURSING HOME,Jefferson,LA,For profit,
ST JOSEPH OF HARAHAN,Jefferson,LA,For profit,
CHATEAU DE NOTRE DAME,Orleans,LA,Non profit,
GOOD SAMARITAN REHABILITATION AND NURSING CTR,Orleans,LA,For profit,
JO ELLEN SMITH CONVALESCENT CENTER,Orleans,LA,For profit,
ST JUDE'S NURSING HOME,Orleans,LA,Non profit,
"RIVERBEND NURSING AND REHABILITATION CENTER, INC",Plaquemines,LA,For profit,
LAKEVIEW MANOR NURSING HOME,Pointe Coupee,LA,For profit,
LULING LIVING CENTER,St. Charles,LA,For profit,YES
ORMOND NURSING & CARE CENTER,St. Charles,LA,For profit,
CHATEAU ST. JAMES REHAB AND RETIREMENT,St. James,LA,For profit,
SOUTHEAST LOUISIANA WAR VETERANS HOME,St. John Baptist,LA,Government,
FOREST MANOR NURSING AND REHABILITATION CENTER,St. Tammany,LA,For profit,
GREENBRIAR COMMUNITY CARE CENTER,St. Tammany,LA,Non profit,
GUEST HOUSE OF SLIDELL,St. Tammany,LA,Non profit,
PONTCHARTRAIN HEALTH CARE CENTER,St. Tammany,LA,For profit,YES
BELLE MAISON NURSING & REHABILITATION L L C,Tangipahoa,LA,For profit,YES
LEGACY NURSING AND REHABILITATION OF PORT ALLEN,W. Baton Rouge,LA,For profit,
BOURNE MANOR EXTENDED CARE FACILITY,Barnstable,MA,Non profit,YES
JML CARE CENTER INC,Barnstable,MA,Non profit,YES
MAYFLOWER PLACE NURSING & REHABILITATION CENTER,Barnstable,MA,For profit,
PLEASANT BAY OF BREWSTER REHAB CENTER,Barnstable,MA,For profit,YES
ROYAL CAPE COD NURSING & REHABILITATION CENTER,Barnstable,MA,For profit,
SOUTH DENNIS HEALTHCARE,Barnstable,MA,For profit,
FAIRVIEW COMMONS NURSING & REHABILITATION CENTER,Berkshire,MA,Non profit,YES
MOUNT CARMEL CARE CENTER,Berkshire,MA,Non profit,
WILLIAMSTOWN COMMONS NURSING & REHAB,Berkshire,MA,Non profit,
ALDEN COURT NURSING CARE & REHABILITATION CENTER,Bristol,MA,For profit,
ATTLEBORO HEALTHCARE,Bristol,MA,For profit,
BRANDON WOODS OF DARTMOUTH,Bristol,MA,For profit,YES
GARDEN PLACE HEALTHCARE,Bristol,MA,For profit,YES
LIFE CARE CENTER OF ATTLEBORO,Bristol,MA,For profit,
LIFE CARE CENTER OF RAYNHAM,Bristol,MA,For profit,
MADONNA MANOR NURSING HOME,Bristol,MA,Non profit,
SOUTHEAST HEALTH CARE CENTER,Bristol,MA,For profit,
WEDGEMERE HEALTHCARE,Bristol,MA,For profit,YES
ACADEMY MANOR,Essex,MA,For profit,YES
ALLIANCE HEALTH AT ABBOTT,Essex,MA,Non profit,YES
ALLIANCE HEALTH AT ROSEWOOD,Essex,MA,Non profit,
BEAR MOUNTAIN AT ANDOVER,Essex,MA,For profit,
BRENTWOOD REHABILITATION AND HEALTHCARE CTR (THE),Essex,MA,For profit,YES
CARE ONE AT ESSEX PARK,Essex,MA,For profit,
CARE ONE AT PEABODY,Essex,MA,For profit,YES
CEDAR VIEW REHABILITATION AND HEALTHCARE CENTER,Essex,MA,For profit,YES
CHESTNUT WOODS REHABILITATION AND HEALTHCARE CTR,Essex,MA,For profit,
GLOUCESTER HEALTHCARE,Essex,MA,For profit,
HATHORNE HILL,Essex,MA,For profit,YES
HUNT NURSING & REHAB CENTER,Essex,MA,Non profit,
JEFFREY & SUSAN BRUDNICK CENTER FOR LIVING,Essex,MA,Non profit,
JESMOND NURSING HOME,Essex,MA,For profit,
LAFAYETTE REHABILITATION & SKILLED NURSING FACILIT,Essex,MA,Non profit,
LEDGEWOOD REHABILITATION & SKILLED NURSING CENTER,Essex,MA,For profit,
LIFE CARE CENTER OF THE NORTH SHORE,Essex,MA,For profit,
M I NURSING & RESTORATIVE CENTER,Essex,MA,Non profit,YES
MASCONOMET HEALTHCARE CENTER,Essex,MA,For profit,YES
"MEADOWS, THE",Essex,MA,Non profit,
NEVINS NURSING & REHABILITATION CENTER,Essex,MA,Non profit,YES
"OXFORD REHABILITATION & HEALTH CARE CENTER, THE",Essex,MA,For profit,
"PENACOOK PLACE, INC",Essex,MA,Non profit,
PILGRIM REHABILITATION & SKILLED NURSING CENTER,Essex,MA,Non profit,
PRESCOTT HOUSE,Essex,MA,For profit,
ROYAL WOOD MILL CENTER,Essex,MA,For profit,
TWIN OAKS REHAB AND NURSING,Essex,MA,For profit,YES
WINGATE AT HAVERHILL,Essex,MA,For profit,YES
BUCKLEY-GREENFIELD HEALTHCARE CENTER,Franklin,MA,For profit,
CHARLENE MANOR EXTENDED CARE FACILITY,Franklin,MA,Non profit,YES
POET'S SEAT HEALTH CARE CENTER,Franklin,MA,For profit,
AGAWAM HEALTHCARE,Hampden,MA,For profit,YES
CARE ONE AT HOLYOKE,Hampden,MA,For profit,
CARE ONE AT REDSTONE,Hampden,MA,For profit,YES
CHAPIN CENTER,Hampden,MA,Non profit,YES
DAY BROOK VILLAGE SENIOR LIVING,Hampden,MA,Non profit,
EAST LONGMEADOW SKILLED NURSING CENTER,Hampden,MA,Non profit,
HERITAGE HALL EAST,Hampden,MA,For profit,YES
HERITAGE HALL NORTH,Hampden,MA,For profit,
HERITAGE HALL WEST,Hampden,MA,For profit,
JULIAN J LEVITT FAMILY NURSING HOME,Hampden,MA,Non profit,
LIFE CARE CENTER OF WILBRAHAM,Hampden,MA,For profit,
LOOMIS LAKESIDE AT REEDS LANDING,Hampden,MA,Non profit,YES
MONT MARIE REHABILITATION & HEALTHCARE CENTER,Hampden,MA,For profit,YES
MOUNT SAINT VINCENT CARE CENTER,Hampden,MA,Non profit,
SIXTEEN ACRES HEALTHCARE CENTER,Hampden,MA,For profit,
VERO HEALTH & REHAB OF HAMPDEN,Hampden,MA,For profit,
VERO HEALTH & REHAB OF WILBRAHAM,Hampden,MA,For profit,
CARE ONE AT NORTHAMPTON,Hampshire,MA,For profit,
HIGHVIEW OF NORTHAMPTON,Hampshire,MA,For profit,YES
VERO HEALTH & REHAB OF SOUTH HADLEY,Hampshire,MA,For profit,YES
"ABERJONA NURSING CENTER, INC",Middlesex,MA,For profit,
BEAR HILL HEALTHCARE AND REHABILITATION CENTER,Middlesex,MA,For profit,YES
BEAR MOUNTAIN AT READING,Middlesex,MA,For profit,
BEAR MOUNTAIN AT SUDBURY,Middlesex,MA,For profit,
BEAUMONT REHAB & SKILLED NURSING CTR - NATICK,Middlesex,MA,For profit,
"BELMONT MANOR NURSING HOME, IN",Middlesex,MA,For profit,
BENCHMARK SNR LIVING AT THE COMMONS IN LINCOLN SNF,Middlesex,MA,For profit,
CAMBRIDGE REHABILITATION & NURSING CENTER,Middlesex,MA,For profit,YES
CARE ONE AT CONCORD,Middlesex,MA,For profit,
CARE ONE AT LEXINGTON,Middlesex,MA,For profit,
CARE ONE AT LOWELL,Middlesex,MA,For profit,YES
CARE ONE AT NEWTON,Middlesex,MA,For profit,YES
CARE ONE AT WILMINGTON,Middlesex,MA,For profit,
CARLETON-WILLARD VILLAGE RETIREMENT & NURSING CTR,Middlesex,MA,Non profit,
CARLYLE HOUSE,Middlesex,MA,For profit,YES
CHETWYNDE HEALTHCARE,Middlesex,MA,For profit,
COURTYARD NURSING CARE CENTER,Middlesex,MA,For profit,
D'YOUVILLE SENIOR CARE,Middlesex,MA,Non profit,YES
DEXTER HOUSE HEALTHCARE,Middlesex,MA,For profit,YES
ELIOT CENTER FOR HEALTH & REHABILITATION,Middlesex,MA,For profit,
FAIRHAVEN HEALTHCARE CENTER,Middlesex,MA,Non profit,
GLEN RIDGE NURSING CARE CENTER,Middlesex,MA,For profit,YES
GREENWOOD NURSING & REHABILITATION CENTER,Middlesex,MA,For profit,
JEANNE JUGAN RESIDENCE,Middlesex,MA,Non profit,
LIFE CARE CENTER OF MERRIMACK VALLEY,Middlesex,MA,For profit,YES
LIFE CARE CENTER OF NASHOBA VALLEY,Middlesex,MA,For profit,
LIFE CARE CENTER OF STONEHAM,Middlesex,MA,For profit,
MARISTHILL NURSING & REHABILITATION CENTER,Middlesex,MA,Non profit,
MARLBOROUGH HILLS REHABILITATION & HLTH CARE CTR,Middlesex,MA,For profit,YES
MARY ANN MORSE NURSING & REHABILITATION,Middlesex,MA,Non profit,
MEADOW GREEN NURSING AND REHABILITATION CENTER,Middlesex,MA,For profit,
MEDFORD REHABILITATION AND NURSING CENTER,Middlesex,MA,For profit,YES
MELROSE HEALTHCARE,Middlesex,MA,For profit,
NEVILLE CENTER AT FRESH POND FOR NURSING & REHAB,Middlesex,MA,Non profit,
NORTHWOOD REHABILITATION & HEALTHCARE CENTER,Middlesex,MA,For profit,
OAK KNOLL HEALTHCARE CENTER,Middlesex,MA,For profit,YES
PALM SKILLED NRSING CR & CTR FOR REHAB EXCELLENCE,Middlesex,MA,For profit,
PARK AVENUE HEALTH CENTER,Middlesex,MA,For profit,
PINE KNOLL NURSING CENTER,Middlesex,MA,For profit,
REHABILITATION & NURSING CENTER AT EVERETT (THE),Middlesex,MA,For profit,YES
RIVERCREST LONG TERM CARE,Middlesex,MA,Non profit,YES
SANCTA MARIA NURSING FACILITY,Middlesex,MA,Non profit,
ST PATRICK'S MANOR,Middlesex,MA,Non profit,YES
STONE REHABILITATION AND SENIOR LIVING,Middlesex,MA,Non profit,YES
SUNNY ACRES NURSING HOME,Middlesex,MA,For profit,YES
TOWN AND COUNTRY HEALTH CARE CENTER,Middlesex,MA,For profit,YES
WAKEFIELD CENTER,Middlesex,MA,For profit,YES
WATERTOWN HEALTH CENTER,Middlesex,MA,For profit,YES
"WATERVIEW LODGE LLC, REHABILITATION & HEALTHCARE",Middlesex,MA,For profit,
WEST NEWTON HEALTHCARE,Middlesex,MA,For profit,YES
WESTFORD HOUSE,Middlesex,MA,For profit,YES
WILLOW MANOR,Middlesex,MA,For profit,
WILMINGTON REHAB CENTER,Middlesex,MA,For profit,
WINGATE AT CHESTNUT HILL,Middlesex,MA,For profit,
WINGATE AT WESTON,Middlesex,MA,For profit,YES
"WOBURN NURSING CENTER, INC",Middlesex,MA,For profit,
ALLIANCE HEALTH AT BRAINTREE,Norfolk,MA,Non profit,
ALLIANCE HEALTH AT MARINA BAY,Norfolk,MA,Non profit,
BLUE HILLS HEALTH AND REHABILITATION CENTER,Norfolk,MA,For profit,
BRAINTREE MANOR HEALTHCARE,Norfolk,MA,For profit,
BRIARWOOD REHABILITATION & HEALTHCARE CENTER,Norfolk,MA,For profit,
BRUSH HILL CARE CENTER,Norfolk,MA,For profit,YES
CARE ONE AT BROOKLINE,Norfolk,MA,For profit,
CARE ONE AT RANDOLPH,Norfolk,MA,For profit,YES
CARE ONE AT WEYMOUTH,Norfolk,MA,For profit,YES
COMMONS RESIDENCE AT ORCHARD COVE,Norfolk,MA,Non profit,
COPLEY AT STOUGHTON - BAYSTATE CONSOLIDATED PROPER,Norfolk,MA,For profit,
ELIZABETH SETON,Norfolk,MA,Non profit,
ELLIS NURSING HOME (THE),Norfolk,MA,For profit,
HANCOCK PARK REHABILITATION AND NURSING CENTER,Norfolk,MA,For profit,YES
HELLENIC NURSING & REHABILITATION CENTER,Norfolk,MA,Non profit,
MAPLES REHABILITATION & NURSING CENTER,Norfolk,MA,For profit,
NEWBRIDGE ON THE CHARLES SKILLED NURSING FACILITY,Norfolk,MA,Non profit,
NEWTON WELLESLEY CENTER FOR ALZHEIMER'S CARE,Norfolk,MA,For profit,
NORWOOD HEALTHCARE,Norfolk,MA,For profit,YES
POPE NURSING HOME,Norfolk,MA,For profit,
QUINCY HEALTH AND REHABILITATION CENTER LLC,Norfolk,MA,For profit,
REVOLUTION CHARLWELL,Norfolk,MA,For profit,
ROYAL BRAINTREE NURSING AND REHABILITATION CENTER,Norfolk,MA,For profit,
SERENITY HILL NURSING CENTER,Norfolk,MA,For profit,
WALPOLE HEALTHCARE,Norfolk,MA,For profit,
WINGATE AT NEEDHAM,Norfolk,MA,For profit,YES
WINGATE AT SHARON,Norfolk,MA,For profit,
ALLIANCE HEALTH AT WEST ACRES,Plymouth,MA,Non profit,YES
BAYPATH AT DUXBURY NURSING & REHABILITATION CTR,Plymouth,MA,For profit,
BAYPOINTE REHAB CENTER,Plymouth,MA,For profit,
BROCKTON HEALTH CENTER,Plymouth,MA,For profit,YES
COLONY CENTER FOR HEALTH & REHABILITATION,Plymouth,MA,For profit,
GUARDIAN CENTER (THE),Plymouth,MA,Non profit,
HARBOR HOUSE NURSING & REHABILITATION CENTER,Plymouth,MA,For profit,
LIFE CARE CENTER OF PLYMOUTH,Plymouth,MA,For profit,
LIFE CARE CENTER OF WEST BRIDGEWATER,Plymouth,MA,For profit,
"QUEEN ANNE NURSING HOME, INC",Plymouth,MA,For profit,
ROYAL NORWELL NURSING & REHABILITATION CENTER LLC,Plymouth,MA,For profit,
SACHEM CENTER FOR HEALTH & REHABILITATION,Plymouth,MA,For profit,
SOUTHSHORE HEALTH CARE CENTER,Plymouth,MA,For profit,
SOUTHWOOD AT NORWELL NURSING CTR,Plymouth,MA,For profit,
ST JOSEPH MANOR HEALTH CARE INC,Plymouth,MA,Non profit,
TREMONT HEALTH CARE CENTER,Plymouth,MA,For profit,YES
WEBSTER PARK REHABILITATION AND HEALTHCARE CENTER,Plymouth,MA,For profit,
"ADVOCATE HEALTHCARE OF EAST BOSTON, LLC",Suffolk,MA,For profit,
ARMENIAN NURSING & REHABILITATION CENTER,Suffolk,MA,Non profit,
BENJAMIN HEALTHCARE CENTER,Suffolk,MA,Non profit,
"BOSTON HOME, INC (THE)",Suffolk,MA,Non profit,
"BOSTONIAN NURSING CARE & REHABILITATION CTR, THE",Suffolk,MA,Non profit,YES
BRIGHTON HOUSE REHABILITATION & NURSING CENTER,Suffolk,MA,For profit,YES
EASTPOINTE REHAB CENTER,Suffolk,MA,For profit,
GERMAN CENTER FOR EXTENDED CARE,Suffolk,MA,Non profit,YES
KATZMAN FAMILY CENTER FOR LIVING,Suffolk,MA,Non profit,
LEONARD FLORENCE CENTER FOR LIVING,Suffolk,MA,Non profit,
LIGHTHOUSE NURSING CARE CENTER,Suffolk,MA,Non profit,
MARIAN MANOR,Suffolk,MA,Non profit,YES
MATTAPAN HEALTH & REHABILITATION CENTER,Suffolk,MA,For profit,
PARK PLACE REHABILITATION & SKILLED CARE CENTER,Suffolk,MA,For profit,
PARKWAY HEALTH AND REHABILITATION CENTER,Suffolk,MA,For profit,
PRESENTATION REHAB AND SKILLED CARE CENTER,Suffolk,MA,Non profit,
RECUPERATIVE SERVICES UNIT-HEBREW REHAB CENTER,Suffolk,MA,Non profit,
SHERRILL HOUSE,Suffolk,MA,Non profit,
SOLDIERS HOME IN MASSACHUSETTS,Suffolk,MA,Government,
SPAULDING NURSING & THERAPY CENTER - BRIGHTON,Suffolk,MA,Non profit,
ST JOSEPH REHAB & NURSING CARE CENTER,Suffolk,MA,For profit,
STONEHEDGE HEALTH CARE CENTER,Suffolk,MA,For profit,YES
ALLIANCE HEALTH AT BALDWINVILLE,Worcester,MA,Non profit,YES
BEAR MOUNTAIN AT WORCESTER,Worcester,MA,For profit,
BEAUMONT AT UNIVERSITY CAMPUS,Worcester,MA,For profit,YES
BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBORO,Worcester,MA,For profit,
CARE ONE AT MILLBURY,Worcester,MA,For profit,
COLEMAN HOUSE,Worcester,MA,For profit,
FITCHBURG HEALTHCARE,Worcester,MA,For profit,
"HIGHLANDS, THE",Worcester,MA,For profit,YES
HOLY TRINITY EASTERN ORTHODOX N & R CENTER,Worcester,MA,Non profit,
JEWISH HEALTHCARE CENTER,Worcester,MA,Non profit,
LYDIA TAFT HOUSE,Worcester,MA,For profit,
MILFORD CENTER,Worcester,MA,For profit,
NOTRE DAME LONG TERM CARE CENTER,Worcester,MA,Non profit,
PARSONS HILL REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit,
SHREWSBURY NURSING & REHABILITATION CENTER,Worcester,MA,For profit,
ST MARY HEALTH CARE CENTER,Worcester,MA,Non profit,
WACHUSETT MANOR,Worcester,MA,For profit,
WEBSTER MANOR REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit,
WORCESTER REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit,YES
HERITAGE CENTER,Baltimore,MD,For profit,YES
LOCH RAVEN CENTER,Baltimore,MD,For profit,YES
FUTURE CARE COLD SPRING,Baltimore City,MD,For profit,
LEVINDALE HEBREW GER CTR & HSP,Baltimore City,MD,Non profit,YES
"LOCHEARN NURSING HOME, LLC",Baltimore City,MD,For profit,
CARROLL LUTHERAN VILLAGE,Carroll,MD,Non profit,
PLEASANT VIEW NSG HOME,Carroll,MD,For profit,YES
ALTHEA WOODLAND NURSING HOME,Montgomery,MD,For profit,YES
