Facilities with Publicly Reported Coronavirus Cases,,,
"Thousands of deaths from the coronavirus have been linked to nursing homes in recent weeks, but the federal government and many states have not identified the providers. Through media accounts and state health departments, The Post was able to identify more than 2,500 nursing homes that have had publicly reported cases of the virus among residents or staff as of Monday morning.

Note: With many states not releasing the names of facilities, the actual number of nursing homes impacted by the virus is likely far higher.                                ",,,
MAGNOLIA HEALTH AND REHABILITATION CENTER,Sarasota,FL,For profit
PINES OF SARASOTA,Sarasota,FL,Non profit
SARASOTA POINT REHABILITATION CENTER,Sarasota,FL,For profit
SPRINGS AT LAKE POINTE WOODS,Sarasota,FL,For profit
SUNNYSIDE NURSING HOME,Sarasota,FL,Non profit
TARPON POINT NURSING AND REHABILITATION CENTER,Sarasota,FL,For profit
VILLAGE ON THE ISLE,Sarasota,FL,Non profit
ADVENTHEALTH CARE CENTER APOPKA SOUTH,Seminole,FL,Non profit
CONSULATE HEALTH CARE AT WEST ALTAMONTE,Seminole,FL,For profit
EMERALD HEALTH CARE CENTER,St. Lucie,FL,For profit
OSPREY POINT NURSING CENTER,Sumter,FL,For profit
SUWANNEE HEALTH AND REHABILITATION CENTER,Suwannee,FL,For profit
"AVANTE AT ORMOND BEACH, INC",Volusia,FL,For profit
COQUINA CENTER,Volusia,FL,For profit
DEBARY HEALTH AND REHABILITATION CENTER,Volusia,FL,For profit
DELTONA HEALTH CARE,Volusia,FL,For profit
MAJESTIC OAKS,Volusia,FL,Non profit
PARKSIDE HEALTH AND REHABILITATION CENTER,Volusia,FL,For profit
EDEN SPRINGS NURSING AND REHAB CENTER,Wakulla,FL,For profit
CHAUTAUQUA REHABILITATION AND NURSING CENTER,Walton,FL,For profit
APPLING NURSING AND REHABILITATION PAVILION,Appling,GA,Non profit
TWIN OAKS CONVALESCENT CENTER,Bacon,GA,Non profit
BOSTICK NURSING CENTER,Baldwin,GA,For profit
GREEN ACRES HEALTH AND REHABILITATION,Baldwin,GA,Non profit
WINDER HEALTH CARE & REHAB CTR,Barrow,GA,For profit
MAPLE RIDGE HEALTH CARE CENTER,Bartow,GA,For profit
TOWNSEND PARK HEALTH AND REHABILITATION,Bartow,GA,Non profit
ARCHWAY TRANSITIONAL CARE CENTER,Bibb,GA,Non profit
MACON REHABILITATION AND HEALTHCARE,Bibb,GA,For profit
PRUITTHEALTH - EASTSIDE,Bibb,GA,For profit
PRUITTHEALTH - MACON,Bibb,GA,For profit
ZEBULON PARK HEALTH AND REHABILITATION,Bibb,GA,Non profit
BAYVIEW NURSING HOME,Brantley,GA,For profit
"PRESBYTERIAN HOME, QUITMAN, IN",Brooks,GA,Non profit
BRYAN COUNTY HLTH & REHAB CTR,Bryan,GA,For profit
WESTWOOD HEALTHCARE AND REHABILITATION,Bulloch,GA,For profit
WESTBURY MEDICAL CARE AND REHAB,Butts,GA,For profit
CALHOUN NURSING HOME,Calhoun,GA,Government
SENIOR CARE CENTER - ST MARYS,Camden,GA,Non profit
ORCHARD HEALTH AND REHABILITATION,Candler,GA,Non profit
PLEASANT VIEW NURSING CENTER,Candler,GA,For profit
"CARROLLTON MANOR, INCORPORATED",Carroll,GA,For profit
CARROLLTON NURSING & REHAB CTR,Carroll,GA,For profit
PINE KNOLL NURSING & REHAB CTR,Carroll,GA,For profit
FOLKSTON PARK CARE AND REHABILITATION CENTER,Charlton,GA,For profit
PRUITTHEALTH - SAVANNAH,Chatham,GA,For profit
BRIAN CENTER HEALTH & REHABILITATION/CANTON,Cherokee,GA,For profit
CANTON NURSING CENTER,Cherokee,GA,For profit
WOODSTOCK NURSING & REHAB CTR,Cherokee,GA,For profit
"OAKS - ATHENS SKILLED NURSING, THE",Clarke,GA,For profit
PRUITTHEALTH - GRANDVIEW,Clarke,GA,For profit
UNIVERSITY NURSING & REHAB CTR,Clarke,GA,For profit
FORT GAINES HEALTH AND REHAB,Clay,GA,For profit
JONESBORO NURSING AND REHABILITATION CENTER,Clayton,GA,For profit
LAKE CITY NURSING AND REHABILITATION CENTER LLC,Clayton,GA,For profit
RIVERDALE CENTER FOR NURSING AND HEALING,Clayton,GA,For profit
"A.G. RHODES HOME, INC - COBB",Cobb,GA,Non profit
ANDERSON MILL HEALTH AND REHABILITATION CENTER,Cobb,GA,For profit
AUTUMN BREEZE HEALTH AND REHAB,Cobb,GA,For profit
DELMAR GARDENS OF SMYRNA,Cobb,GA,For profit
MANOR CARE REHABILITATION CENTER - MARIETTA,Cobb,GA,Non profit
POWDER SPRINGS TRANSITIONAL CARE AND REHAB,Cobb,GA,For profit
PRESBYTERIAN VILLAGE,Cobb,GA,Non profit
PRUITTHEALTH - AUSTELL,Cobb,GA,For profit
PRUITTHEALTH - MARIETTA,Cobb,GA,For profit
ROSELANE HEALTH AND REHABILITATION CENTER,Cobb,GA,For profit
ROSS MEMORIAL HEALTH CARE CTR,Cobb,GA,For profit
ROSWELL NURSING & REHAB CENTER,Cobb,GA,For profit
SIGNATURE HEALTHCARE AT TOWER ROAD,Cobb,GA,For profit
SIGNATURE HEALTHCARE OF MARIETTA,Cobb,GA,For profit
VISTA PARK HEALTH AND REHABILITATION,Coffee,GA,Non profit
LAKE CROSSING HEALTH CENTER,Columbia,GA,For profit
UNIVERSITY EXTENDED CARE/WESTW,Columbia,GA,Non profit
ANSLEY PARK HEALTH AND REHABILITATION,Coweta,GA,Non profit
AVALON HEALTH AND REHABILITATION,Coweta,GA,For profit
NEWNAN HEALTH AND REHABILITATION,Coweta,GA,Non profit
CORDELE HEALTH AND REHABILITATION,Crisp,GA,Government
CRISP REGIONAL NSG & REHAB CTR,Crisp,GA,Non profit
DADE HEALTH AND REHAB,Dade,GA,For profit
A.G. RHODES HOME WESLEY WOODS,De Kalb,GA,Non profit
BRIARWOOD HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit
BUDD TERRACE AT WESLEY WOODS,De Kalb,GA,Non profit
EAST LAKE ARBOR,De Kalb,GA,For profit
FOUNTAINVIEW CTR FOR ALZHEIMER,De Kalb,GA,For profit
GLENWOOD HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit
GRACE HEALTHCARE OF TUCKER,De Kalb,GA,For profit
LENBROOK,De Kalb,GA,Non profit
MANOR CARE REHABILITATION CENTER - DECATUR,De Kalb,GA,Non profit
MEADOWBROOK HEALTH AND REHAB,De Kalb,GA,For profit
NORTH DECATUR HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit
PRUITTHEALTH - BROOKHAVEN,De Kalb,GA,For profit
PRUITTHEALTH - VIRGINIA PARK,De Kalb,GA,For profit
ROSEMONT AT STONE MOUNTAIN,De Kalb,GA,For profit
SANDY SPRINGS HEALTH AND REHABILITATION,De Kalb,GA,For profit
BAINBRIDGE HEALTH AND REHAB,Decatur,GA,For profit
MEMORIAL MANOR NURSING HOME,Decatur,GA,Government
EASTMAN HEALTHCARE & REHAB,Dodge,GA,For profit
PIONEER HEALTH OF CENTRAL GEORGIA,Dooly,GA,For profit
PRUITTHEALTH - PALMYRA,Dougherty,GA,For profit
WYNFIELD PARK HEALTH AND REHABILITATION,Dougherty,GA,Non profit
DOUGLASVILLE NURSING AND REHABILITATION CENTER,Douglas,GA,For profit
EARLY MEMORIAL NURSING FACILITY,Early,GA,For profit
EFFINGHAM CARE & REHABILITATION CENTER,Effingham,GA,Non profit
PRUITTHEALTH - SWAINSBORO,Emanuel,GA,For profit
PRUITTHEALTH - BLUE RIDGE,Fannin,GA,For profit
CONDOR HEALTH LAFAYETTE,Fayette,GA,For profit
SOUTHLAND HEALTH AND REHABILITATION,Fayette,GA,Non profit
CHULIO HILLS HEALTH AND REHAB,Floyd,GA,For profit
EVERGREEN HEALTH AND REHABILITATION CENTER,Floyd,GA,For profit
FIFTH AVENUE HEALTH CARE,Floyd,GA,For profit
PRUITTHEALTH - ROME,Floyd,GA,For profit
ROME HEALTH AND REHABILITATION CENTER,Floyd,GA,For profit
WINTHROP HEALTH AND REHABILITATION,Floyd,GA,Non profit
CUMMING NURSING CENTER,Forsyth,GA,For profit
"A.G. RHODES HOME, INC, THE",Fulton,GA,Non profit
BONTERRA TRANSITIONAL CARE & REHABILITATION,Fulton,GA,For profit
CHRISTIAN CITY REHABILITATION CENTER,Fulton,GA,For profit
CRESTVIEW HEALTH & REHAB CTR,Fulton,GA,Non profit
FAIRBURN HEALTH CARE CENTER,Fulton,GA,For profit
FULTON CENTER FOR REHABILITATION LLC,Fulton,GA,For profit
"HEALTHCARE AT COLLEGE PARK, LLC",Fulton,GA,For profit
LEGACY TRANSITIONAL CARE & REHABILITATION,Fulton,GA,For profit
NURSE CARE OF BUCKHEAD,Fulton,GA,For profit
RELIABLE HEALTH & REHAB AT LAKEWOOD,Fulton,GA,For profit
SADIE G. MAYS HEALTH & REHABILITATION CENTER,Fulton,GA,Non profit
SIGNATURE HEALTHCARE OF BUCKHEAD,Fulton,GA,For profit
WESTMINSTER COMMONS,Fulton,GA,For profit
"WILLIAM BREMAN JEWISH HOME, THE",Fulton,GA,Non profit
CALHOUN HEALTH CARE CENTER,Gordon,GA,For profit
PINEWOOD NURSING CENTER,Grady,GA,For profit
CAMBRIDGE POST ACUTE CARE CENTER,Gwinnett,GA,For profit
DELMAR GARDENS OF GWINNETT,Gwinnett,GA,For profit
LIFE CARE CENTER OF GWINNETT,Gwinnett,GA,For profit
LIFE CARE CTR OF LAWRENCEVILLE,Gwinnett,GA,For profit
PARKSIDE POST ACUTE AND REHABILITATION,Gwinnett,GA,For profit
PEBBLEBROOK HEALTH CENTER AT PARK SPRINGS,Gwinnett,GA,For profit
PRUITTHEALTH - LILBURN,Gwinnett,GA,For profit
SALUDE - THE ART OF RECOVERY,Gwinnett,GA,For profit
HABERSHAM HOME,Habersham,GA,Non profit
NEW HORIZONS LIMESTONE,Hall,GA,Non profit
"OAKS - LIMESTONE, THE",Hall,GA,For profit
WILLOWWOOD HEALTHCARE AND REHABILITATION,Hall,GA,For profit
SPARTA HEALTH AND REHABILITATION,Hancock,GA,Non profit
"OAK VIEW HOME, INC",Harris,GA,Non profit
LAUREL PARK AT HENRY MED CTR,Henry,GA,For profit
"WESTBURY MCDONOUGH, LLC",Henry,GA,For profit
SOUTHERN PINES,Houston,GA,For profit
PRUITTHEALTH - OCILLA,Irwin,GA,For profit
HAZELHURST COURT CARE AND REHABILITATION CENTER,Jeff Davis,GA,For profit
PRUITTHEALTH - BETHANY,Jenkins,GA,For profit
SGMC LAKELAND VILLA,Lanier,GA,Government
DUBLINAIR HEALTH & REHAB,Laurens,GA,For profit
SOUTHLAND HEALTHCARE AND REHAB CENTER,Laurens,GA,For profit
LEE COUNTY HEALTH AND REHABILITATION,Lee,GA,Non profit
PRUITTHEALTH - CRESTWOOD,Lowndes,GA,For profit
PRUITTHEALTH - VALDOSTA,Lowndes,GA,For profit
CHELSEY PARK HEALTH AND REHABILITATION,Lumpkin,GA,Non profit
MIONA GERIATRIC & DEMENTIA CENTER,Macon,GA,For profit
MONTEZUMA HEALTH CARE CENTER,Macon,GA,Non profit
COMER HEALTH AND REHABILITATION,Madison,GA,Non profit
MAGNOLIA MANOR OF MARION COUNTY,Marion,GA,Non profit
THOMSON HEALTH AND REHABILITATION,Mc Duffie,GA,For profit
PRUITTHEALTH - GREENVILLE,Meriwether,GA,For profit
MILLER NURSING HOME,Miller,GA,Government
MITCHELL COUNTY NURSING HOMES,Mitchell,GA,Non profit
MADISON HEALTH AND REHAB,Morgan,GA,For profit
AZALEA TRACE NURSING CENTER,Muscogee,GA,Non profit
MAGNOLIA MANOR OF COLUMBUS NURSING CENTER - EAST,Muscogee,GA,Non profit
MUSCOGEE MANOR & REHABILITATION CTR,Muscogee,GA,Government
ORCHARD VIEW REHABILITATION & SKILLED NURSING CTR,Muscogee,GA,Government
RIVER TOWNE CENTER,Muscogee,GA,For profit
QUIET OAKS HEALTH CARE CENTER,Oglethorpe,GA,For profit
FORT VALLEY HEALTH AND REHAB,Peach,GA,For profit
PRUITTHEALTH - JASPER,Pickens,GA,For profit
EATONTON HEALTH AND REHABILITATION,Putnam,GA,Non profit
JOE-ANNE BURGIN NURSING HOME,Randolph,GA,Government
KENTWOOD NURSING FACILITY,Richmond,GA,Non profit
PRUITTHEALTH - AUGUSTA HILLS,Richmond,GA,For profit
WINDERMERE HEALTH AND REHABILITATION CENTER,Richmond,GA,For profit
SYL-VIEW HEALTH CARE CENTER,Screven,GA,For profit
"BRIGHTMOOR HEALTH CARE, INC",Spalding,GA,For profit
PRUITTHEALTH - TOCCOA,Stephens,GA,For profit
FOUR COUNTY HEALTH AND REHABILITATION,Stewart,GA,Non profit
LILLIAN G CARTER HEALTH AND REHABILITATION,Sumter,GA,Non profit
MAGNOLIA MANOR METHODIST NSG C,Sumter,GA,Non profit
DAWSON HEALTH AND REHABILITATION,Terrell,GA,Non profit
CAMELLIA GARDENS OF LIFE CARE,Thomas,GA,For profit
GLENN-MOR NURSING HOME,Thomas,GA,Non profit
ROSE CITY HEALTH AND REHABILITATION CENTER,Thomas,GA,For profit
"THOMASVILLE HEALTH & REHAB, LLC",Thomas,GA,For profit
REHABILITATION CENTER OF SOUTH GEORGIA,Tift,GA,For profit
TIFTON HEALTH AND REHABILITATION CENTER,Tift,GA,For profit
CHATUGE REGIONAL NURSING HOME,Towns,GA,Non profit
LAGRANGE HEALTH AND REHAB,Troup,GA,For profit
PRUITTHEALTH - ASHBURN,Turner,GA,For profit
UNION COUNTY NURSING HOME,Union,GA,Non profit
HARBORVIEW HEALTH SYSTEMS THOMASTON,Upson,GA,For profit
PROVIDENCE HEALTHCARE,Upson,GA,For profit
PARK PLACE NURSING FACILITY,Walton,GA,For profit
"BAPTIST VILLAGE, INC.",Ware,GA,Non profit
HARBORVIEW SATILLA,Ware,GA,For profit
WARRENTON HEALTH AND REHAB,Warren,GA,For profit
REGENCY PARK HEALTH AND REHABILITATION,Whitfield,GA,Non profit
CROSSVIEW CARE CENTER,Wilcox,GA,For profit
GLEN EAGLE HEALTHCARE AND REHAB,Wilcox,GA,For profit
PRUITTHEALTH - SYLVESTER,Worth,GA,For profit
HERITAGE SPECIALTY CARE,Linn,IA,Non profit
LINN MANOR CARE CENTER,Linn,IA,Non profit
MANORCARE HEALTH SERVICES,Linn,IA,Non profit
LUTHERAN LIVING SENIOR CAMPUS,Muscatine,IA,Non profit
WILTON RETIREMENT COMMUNITY,Muscatine,IA,Non profit
BISHOP DRUMM RETIREMENT CENTER,Polk,IA,Non profit
ON WITH LIFE,Polk,IA,Non profit
"QHC MITCHELLVILLE, LLC",Polk,IA,For profit
TRINITY CENTER AT LUTHER PARK,Polk,IA,Non profit
ST FRANCIS MANOR,Poweshiek,IA,Non profit
PREMIER ESTATES OF TOLEDO,Tama,IA,For profit
WASHINGTON COUNTY HOSPITAL,Washington,IA,Government
AVAMERE TRANSITIONAL CARE & REHAB - BOISE,Ada,ID,For profit
LIFE CARE CENTER OF LEWISTON,Nez Perce,ID,For profit
NORTHWOODS CARE CENTRE,Boone,IL,For profit
CARLYLE HEALTHCARE CENTER,Clinton,IL,For profit
"ADMIRAL AT THE LAKE, THE",Cook,IL,Non profit
ALDEN ESTATES OF NORTHMOOR,Cook,IL,For profit
ALDEN ESTATES OF ORLAND PARK,Cook,IL,For profit
ALDEN LAKELAND REHAB & HCC,Cook,IL,For profit
ALDEN NORTH SHORE REHAB & HCC,Cook,IL,For profit
ALL AMERICAN NURSING HOME,Cook,IL,For profit
AMBASSADOR NURSING & REHAB CENTER,Cook,IL,For profit
APERION CARE BURBANK,Cook,IL,For profit
APERION CARE CHICAGO HEIGHTS,Cook,IL,For profit
APERION CARE DOLTON,Cook,IL,For profit
APERION CARE EVANSTON,Cook,IL,For profit
APERION CARE FOREST PARK,Cook,IL,For profit
APERION CARE INTERNATIONAL,Cook,IL,For profit
APERION CARE OAK LAWN,Cook,IL,For profit
APERION CARE PLUM GROVE,Cook,IL,For profit
APERION CARE WEST RIDGE,Cook,IL,For profit
ARBOUR HEALTH CARE CENTER,Cook,IL,For profit
ASTORIA PLACE LIVING & REHAB,Cook,IL,Non profit
ATRIUM HEALTH CARE CENTER,Cook,IL,For profit
"AUSTIN OASIS, THE",Cook,IL,For profit
AVANTARA EVERGREEN PARK,Cook,IL,For profit
AVANTI WELLNESS & REHAB,Cook,IL,For profit
BEACON HEALTH CENTER,Cook,IL,For profit
BELHAVEN NURSING & REHAB CENTER,Cook,IL,For profit
BELLA TERRA MORTON GROVE,Cook,IL,For profit
BETHESDA REHAB & SENIOR CARE,Cook,IL,Non profit
BIRCHWOOD PLAZA,Cook,IL,For profit
BRIA OF CHICAGO HEIGHTS,Cook,IL,For profit
BRIA OF FOREST EDGE,Cook,IL,For profit
BRIA OF PALOS HILLS,Cook,IL,For profit
BRIDGEVIEW HEALTH CARE CENTER,Cook,IL,For profit
CALIFORNIA GARDENS N & REHAB C,Cook,IL,For profit
"CARLTON AT THE LAKE, THE",Cook,IL,For profit
CENTER HOME HISPANIC ELDERLY,Cook,IL,For profit
CENTRAL NURSING HOME,Cook,IL,For profit
CHALET LIVING & REHAB,Cook,IL,For profit
CHICAGO RIDGE NURSING CENTER,Cook,IL,For profit
"CITADEL OF NORTHBROOK, THE",Cook,IL,For profit
CITY VIEW MULTICARE CENTER,Cook,IL,For profit
CLARK MANOR,Cook,IL,For profit
COMMUNITY CARE CENTER,Cook,IL,For profit
CONTINENTAL NURSING & REHAB CENTER,Cook,IL,For profit
ELEVATE CARE CHICAGO NORTH,Cook,IL,For profit
ELEVATE CARE IRVING PARK,Cook,IL,For profit
ELEVATE CARE NILES,Cook,IL,For profit
"ESTATES OF HYDE PARK, THE",Cook,IL,For profit
FAIRMONT CARE,Cook,IL,For profit
GENERATIONS AT APPLEWOOD,Cook,IL,For profit
GENERATIONS AT ELMWOOD PARK,Cook,IL,For profit
GENERATIONS AT REGENCY,Cook,IL,For profit
GENERATIONS OAKTON PAVILLION,Cook,IL,For profit
GLENVIEW TERRACE NURSING CTR,Cook,IL,For profit
GROSSE POINTE MANOR,Cook,IL,For profit
"GROVE OF EVANSTON L & R, THE",Cook,IL,For profit
HARMONY NURSING & REHAB CENTER,Cook,IL,For profit
HOLY FAMILY VILLA,Cook,IL,Non profit
KENSINGTON PLACE NRSG & REHAB,Cook,IL,For profit
LAKEFRONT NURSING & REHAB CTR,Cook,IL,For profit
LAKEVIEW  REHAB & NURSING CENTER,Cook,IL,For profit
LANDMARK OF DES PLAINES REHAB,Cook,IL,For profit
LANDMARK OF RICHTON PARK REHAB & NSG CTR,Cook,IL,For profit
LEMONT NURSING & REHAB CENTER,Cook,IL,For profit
LEXINGTON OF CHICAGO RIDGE,Cook,IL,For profit
LEXINGTON OF ORLAND PARK,Cook,IL,For profit
LIEBERMAN CENTER FOR HEALTH & REHAB,Cook,IL,Non profit
LINCOLNWOOD PLACE,Cook,IL,For profit
LITTLE SISTERS OF THE POOR,Cook,IL,Non profit
LITTLE VILLAGE NRSG & RHB CTR,Cook,IL,For profit
MADO HEALTHCARE - UPTOWN,Cook,IL,For profit
MANORCARE OF HOMEWOOD,Cook,IL,Non profit
MANORCARE OF OAK LAWN EAST,Cook,IL,Non profit
MANORCARE OF OAK LAWN WEST,Cook,IL,Non profit
MANORCARE OF PALOS HEIGHTS EAST,Cook,IL,Non profit
MANORCARE OF PALOS HEIGHTS WEST,Cook,IL,Non profit
MAYFIELD HEALTH CENTER,Cook,IL,For profit
MIDWAY NEUROLOGICAL / REHAB CENTER,Cook,IL,For profit
MONTGOMERY PLACE,Cook,IL,Non profit
"MOSAIC OF LAKESHORE, THE",Cook,IL,For profit
NILES NSG & REHAB CTR,Cook,IL,For profit
NORRIDGE GARDENS,Cook,IL,For profit
NORWOOD CROSSING,Cook,IL,Non profit
OAK PARK OASIS,Cook,IL,For profit
PARK VIEW REHAB CENTER,Cook,IL,For profit
PARKSHORE ESTATES NURSING & REHAB,Cook,IL,For profit
PAUL HOUSE & HEALTH CR CTR,Cook,IL,Non profit
PERSHING GARDENS HEALTHCARE CENTER,Cook,IL,For profit
PRAIRIE MANOR NRSG & REHAB CTR,Cook,IL,For profit
PRAIRIE OASIS,Cook,IL,For profit
PRESENCE MARYHAVEN NSG & REHAB,Cook,IL,Non profit
PRINCETON REHAB & HCC,Cook,IL,For profit
SELFHELP HOME OF CHICAGO,Cook,IL,Non profit
SHERIDAN VILLAGE NRSG & RHB,Cook,IL,For profit
SMITH CROSSING,Cook,IL,Non profit
SMITH VILLAGE,Cook,IL,Non profit
SOUTHPOINT NURSING & REHAB CENTER,Cook,IL,For profit
SOUTHVIEW MANOR,Cook,IL,For profit
SYMPHONY AT 87TH STREET,Cook,IL,For profit
SYMPHONY AT ARIA,Cook,IL,For profit
SYMPHONY EVANSTON HEALTHCARE,Cook,IL,For profit
SYMPHONY OF BRONZEVILLE,Cook,IL,For profit
SYMPHONY OF CHICAGO WEST,Cook,IL,For profit
SYMPHONY OF CRESTWOOD,Cook,IL,For profit
SYMPHONY OF LINCOLN PARK,Cook,IL,For profit
SYMPHONY OF MORGAN PARK,Cook,IL,For profit
SYMPHONY OF SOUTH SHORE,Cook,IL,For profit
UPTOWN HEALTH CENTER,Cook,IL,For profit
VI AT THE GLEN,Cook,IL,For profit
"VILLA AT SOUTH HOLLAND, THE",Cook,IL,For profit
VILLA AT WINDSOR PARK,Cook,IL,For profit
WARREN BARR GOLD COAST,Cook,IL,For profit
WARREN BARR LINCOLN PARK,Cook,IL,For profit
WARREN BARR SOUTH LOOP,Cook,IL,For profit
WESTCHESTER HEALTH & REHABILITATION,Cook,IL,For profit
WESTMINSTER PLACE,Cook,IL,Non profit
"WESTWOOD MANOR, THE",Cook,IL,For profit
WINDSOR ESTATES NSG & REHAB,Cook,IL,For profit
WINSTON MANOR CNV & NURSING,Cook,IL,For profit
WOODBRIDGE NURSING PAVILION,Cook,IL,For profit
ABBINGTON REHAB & NURSING CTR,Du Page,IL,For profit
ALDEN ESTATES OF NAPERVILLE,Du Page,IL,For profit
ALDEN VALLEY RIDGE REHAB & HCC,Du Page,IL,For profit
ARISTA HEALTHCARE,Du Page,IL,For profit
BRIA OF WESTMONT,Du Page,IL,For profit
BRIDGEWAY SENIOR LIVING,Du Page,IL,For profit
BROOKDALE BURR RIDGE,Du Page,IL,For profit
BROOKDALE PLAZA LISLE SNF,Du Page,IL,For profit
BURGESS SQUARE HEALTHCARE CTR,Du Page,IL,For profit
CHATEAU NRSG & REHAB CENTER,Du Page,IL,For profit
COVENANT LIVING - WINDSOR PARK,Du Page,IL,Non profit
FOREST VIEW REHAB & NURSING CENTER,Du Page,IL,For profit
LEXINGTON HLTH CR CTR-BLMNGDL,Du Page,IL,For profit
LEXINGTON HLTH CR CTR-LOMBARD,Du Page,IL,For profit
LEXINGTON OF ELMHURST,Du Page,IL,For profit
MANORCARE OF HINSDALE,Du Page,IL,Non profit
OAK BROOK CARE,Du Page,IL,For profit
PARK PLACE CHRISTIAN COMMUNITY,Du Page,IL,For profit
PROVIDENCE DOWNERS GROVE,Du Page,IL,Non profit
TABOR HILLS HEALTH CARE FAC,Du Page,IL,Non profit
WEST CHICAGO TERRACE,Du Page,IL,For profit
WESTMONT MANOR HLTH & RHB,Du Page,IL,For profit
WHEATON VILLAGE NRSG & RHB CTR,Du Page,IL,For profit
INTEGRITY HC OF CARBONDALE,Jackson,IL,For profit
MANOR COURT OF CARBONDALE,Jackson,IL,Non profit
NEWTON CARE CENTER,Jasper,IL,For profit
GALENA STAUSS NURSING HOME,Jo Daviess,IL,Non profit
BRIA OF GENEVA,Kane,IL,For profit
ELMWOOD TERRACE HEALTHCARE CTR,Kane,IL,For profit
FOX RIVER REHAB & HEALTHCARE,Kane,IL,For profit
"GROVE OF FOX VALLEY,THE",Kane,IL,For profit
SYMPHONY OF ORCHARD VALLEY,Kane,IL,For profit
APERION CARE BRADLEY,Kankakee,IL,For profit
CITADEL CARE CENTER-KANKAKEE,Kankakee,IL,For profit
MILLER HEALTH CARE CENTER,Kankakee,IL,Non profit
SYMPHONY AT THE TILLERS,Kendall,IL,For profit
CLARIDGE HEALTHCARE CENTER,Lake,IL,For profit
ELEVATE CARE RIVERWOODS,Lake,IL,For profit
ELEVATE CARE WAUKEGAN,Lake,IL,For profit
"GROVE AT THE LAKE,THE",Lake,IL,For profit
LAKE FOREST PLACE,Lake,IL,For profit
LEXINGTON OF LAKE ZURICH,Lake,IL,For profit
PAVILION OF WAUKEGAN,Lake,IL,For profit
RADFORD GREEN,Lake,IL,For profit
ROLLING HILLS MANOR,Lake,IL,Non profit
"TERRACE NURSING HOME,THE",Lake,IL,For profit
"VILLAGE AT VICTORY LAKES, THE",Lake,IL,Non profit
WARREN BARR LINCOLNSHIRE,Lake,IL,For profit
WARREN BARR NORTH SHORE,Lake,IL,For profit
WAUCONDA CARE,Lake,IL,For profit
"WHITEHALL NORTH, THE",Lake,IL,For profit
WINCHESTER HOUSE,Lake,IL,For profit
FAIR HAVENS SENIOR LIVING,Macon,IL,For profit
EDEN VILLAGE CARE CENTER,Madison,IL,Non profit
EDWARDSVILLE NSG & REHAB CTR,Madison,IL,For profit
STEARNS NURSING & REHAB CENTER,Madison,IL,For profit
ALDEN TERRACE OF MCHENRY REHAB,Mc Henry,IL,For profit
CROSSROADS CARE CTR WOODSTOCK,Mc Henry,IL,For profit
FAIR OAKS HEALTH CARE CENTER,Mc Henry,IL,Non profit
"SPRINGS AT CRYSTAL LAKE, THE",Mc Henry,IL,For profit
LUTHER OAKS,Mc Lean,IL,Non profit
GENERATIONS AT PEORIA,Peoria,IL,For profit
SHARON HEALTH CARE WILLOWS,Peoria,IL,For profit
CENTENNIAL REHAB & HEALTHCARE,Rock Island,IL,For profit
FRIENDSHIP MANOR,Rock Island,IL,Non profit
GENERATIONS AT ROCK ISLAND,Rock Island,IL,For profit
HOPE CREEK CARE CENTER,Rock Island,IL,Government
BRIA OF BELLEVILLE,St. Clair,IL,For profit
HELIA SOUTHBELT HEALTHCARE,St. Clair,IL,For profit
LEBANON CARE CENTER,St. Clair,IL,For profit
MEMORIAL CARE CENTER,St. Clair,IL,For profit
GENERATIONS AT RIVERVIEW,Tazewell,IL,For profit
ALDEN COURTS OF SHOREWOOD,Will,IL,For profit
JOLIET TERRACE,Will,IL,For profit
LAKEWOOD NRSG & REHAB CENTER,Will,IL,For profit
MEADOWBROOK MANOR,Will,IL,For profit
PARC JOLIET,Will,IL,For profit
PRESENCE VILLA FRANCISCAN,Will,IL,Non profit
ST JAMES WELLNESS REHAB VILLAS,Will,IL,For profit
SUNNY HILL NURSING HOME OF WILL COUNTY,Will,IL,Government
SYMPHONY OF JOLIET,Will,IL,For profit
ALDEN DEBES REHAB & HCC,Winnebago,IL,For profit
AMBERWOOD CARE CENTRE,Winnebago,IL,For profit
LIFE CARE CENTER OF FORT WAYNE,Allen,IN,For profit
OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,Johnson,IN,Non profit
MITCHELL MANOR,Lawrence,IN,Non profit
BETHANY POINTE HEALTH CAMPUS,Madison,IN,For profit
WILDWOOD HEALTHCARE CENTER,Marion,IN,For profit
SIGNATURE HEALTHCARE OF NEWBURGH,Warrick,IN,For profit
LIFE CARE CENTER OF BURLINGTON,Coffey,KS,For profit
ADVANCED HEALTH CARE OF OVERLAND PARK,Johnson,KS,For profit
BRIGHTON GARDENS OF PRAIRIE VILLAGE,Johnson,KS,For profit
BROOKDALE ROSEHILL,Johnson,KS,For profit
GARDEN TERRACE AT OVERLAND PARK,Johnson,KS,For profit
STRATFORD COMMONS REHAB & HEALTH CARE CENTER,Johnson,KS,For profit
VILLAGE SHALOM INC,Johnson,KS,Non profit
CLEARWATER NURSING & REHABILITATION CENTER,Sedgwick,KS,For profit
