Provider_Name,County,State,Ownership Type,Federal Provider Number
GLOUCESTER HEALTHCARE,Essex,MA,For profit,225464
HANNAH DUSTON HEALTHCARE CENTER,Essex,MA,For profit,225290
HATHORNE HILL,Essex,MA,For profit,225449
HUNT NURSING & REHAB CENTER,Essex,MA,Non profit,225740
JEFFREY & SUSAN BRUDNICK CENTER FOR LIVING,Essex,MA,Non profit,225472
JESMOND NURSING HOME,Essex,MA,For profit,225471
LAFAYETTE REHABILITATION & SKILLED NURSING FACILIT,Essex,MA,Non profit,225411
LEDGEWOOD REHABILITATION & SKILLED NURSING CENTER,Essex,MA,For profit,225309
LIFE CARE CENTER OF THE NORTH SHORE,Essex,MA,For profit,225529
M I NURSING & RESTORATIVE CENTER,Essex,MA,Non profit,225154
MAPLEWOOD REHAB  AND NURSING,Essex,MA,For profit,225229
MASCONOMET HEALTHCARE CENTER,Essex,MA,For profit,225750
"MEADOWS, THE",Essex,MA,Non profit,225724
MERRIMACK VALLEY HEALTH CENTER,Essex,MA,For profit,225318
NEVINS NURSING & REHABILITATION CENTER,Essex,MA,Non profit,225409
"NEW ENGLAND HOMES FOR THE DEAF, INC",Essex,MA,Non profit,225768
"OXFORD REHABILITATION & HEALTH CARE CENTER, THE",Essex,MA,For profit,225218
"PENACOOK PLACE, INC",Essex,MA,Non profit,225376
PHILLIPS MANOR NURSING HOME,Essex,MA,For profit,225748
PILGRIM REHABILITATION & SKILLED NURSING CENTER,Essex,MA,Non profit,225048
PORT HEALTHCARE CENTER,Essex,MA,For profit,225271
PRESCOTT HOUSE,Essex,MA,For profit,225510
ROYAL WOOD MILL CENTER,Essex,MA,For profit,225505
SALEM REHAB CENTER,Essex,MA,For profit,225644
SAUGUS REHAB AND NURSING,Essex,MA,For profit,225147
SEACOAST NURSING & REHABILITATION CENTER INC,Essex,MA,Non profit,225567
SUTTON HILL CENTER,Essex,MA,For profit,225530
TWIN OAKS REHAB AND NURSING,Essex,MA,For profit,225198
WINGATE AT HAVERHILL,Essex,MA,For profit,225404
BUCKLEY-GREENFIELD HEALTHCARE CENTER,Franklin,MA,For profit,225335
CHARLENE MANOR EXTENDED CARE FACILITY,Franklin,MA,Non profit,225304
POET'S SEAT HEALTH CARE CENTER,Franklin,MA,For profit,225360
AGAWAM HEALTHCARE,Hampden,MA,For profit,225642
BEAR MOUNTAIN AT WEST SPRINGFIELD,Hampden,MA,For profit,225262
CARE ONE AT HOLYOKE,Hampden,MA,For profit,225236
CARE ONE AT REDSTONE,Hampden,MA,For profit,225299
CHAPIN CENTER,Hampden,MA,Non profit,225291
CHICOPEE REHABILITATION AND NURSING CENTER,Hampden,MA,For profit,225539
DAY BROOK VILLAGE SENIOR LIVING,Hampden,MA,Non profit,225269
EAST LONGMEADOW SKILLED NURSING CENTER,Hampden,MA,Non profit,225331
GOVERNORS CENTER,Hampden,MA,Non profit,225313
HERITAGE HALL EAST,Hampden,MA,For profit,225286
HERITAGE HALL NORTH,Hampden,MA,For profit,225766
HERITAGE HALL SOUTH,Hampden,MA,For profit,225176
HERITAGE HALL WEST,Hampden,MA,For profit,225253
JULIAN J LEVITT FAMILY NURSING HOME,Hampden,MA,Non profit,225040
LIFE CARE CENTER OF WILBRAHAM,Hampden,MA,For profit,225543
LOOMIS LAKESIDE AT REEDS LANDING,Hampden,MA,Non profit,225691
MARY'S MEADOW AT PROVIDENCE PLACE,Hampden,MA,Non profit,225738
MONT MARIE REHABILITATION & HEALTHCARE CENTER,Hampden,MA,For profit,225556
MOUNT SAINT VINCENT CARE CENTER,Hampden,MA,Non profit,225480
RENAISSANCE MANOR ON CABOT,Hampden,MA,For profit,225352
SIXTEEN ACRES HEALTHCARE CENTER,Hampden,MA,For profit,225392
VERO HEALTH & REHAB OF HAMPDEN,Hampden,MA,For profit,225265
VERO HEALTH & REHAB OF WILBRAHAM,Hampden,MA,For profit,225295
WESTFIELD CENTER,Hampden,MA,For profit,225380
CARE ONE AT NORTHAMPTON,Hampshire,MA,For profit,225257
CENTER FOR EXTENDED CARE AT AMHERST,Hampshire,MA,For profit,225420
ELAINE CENTER AT HADLEY,Hampshire,MA,For profit,225697
HIGHVIEW OF NORTHAMPTON,Hampshire,MA,For profit,225466
VERO HEALTH & REHAB OF SOUTH HADLEY,Hampshire,MA,For profit,225757
"ABERJONA NURSING CENTER, INC",Middlesex,MA,For profit,225433
APPLE VALLEY CENTER,Middlesex,MA,For profit,225421
BEAR HILL HEALTHCARE AND REHABILITATION CENTER,Middlesex,MA,For profit,225272
BEAR MOUNTAIN AT READING,Middlesex,MA,For profit,225431
BEAR MOUNTAIN AT SUDBURY,Middlesex,MA,For profit,225710
BEAUMONT REHAB & SKILLED NURSING CTR - NATICK,Middlesex,MA,For profit,225727
"BELMONT MANOR NURSING HOME, IN",Middlesex,MA,For profit,225419
BELVIDERE HEALTHCARE CENTER,Middlesex,MA,For profit,225489
BENCHMARK SNR LIVING AT THE COMMONS IN LINCOLN SNF,Middlesex,MA,For profit,225782
BETHANY SKILLED NURSING FACILITY,Middlesex,MA,Non profit,225535
BLAIRE HOUSE OF TEWKSBURY,Middlesex,MA,For profit,225548
CAMBRIDGE REHABILITATION & NURSING CENTER,Middlesex,MA,For profit,225520
"CAMPION HEALTH & WELLNESS, INC",Middlesex,MA,Non profit,225656
CARE ONE AT CONCORD,Middlesex,MA,For profit,225663
CARE ONE AT LEXINGTON,Middlesex,MA,For profit,225288
CARE ONE AT LOWELL,Middlesex,MA,For profit,225224
CARE ONE AT NEWTON,Middlesex,MA,For profit,225268
CARE ONE AT WILMINGTON,Middlesex,MA,For profit,225504
CARLETON-WILLARD VILLAGE RETIREMENT & NURSING CTR,Middlesex,MA,Non profit,225273
CARLYLE HOUSE,Middlesex,MA,For profit,225541
CASA DE RAMANA REHABILITATION CENTER,Middlesex,MA,For profit,225179
CHETWYNDE HEALTHCARE,Middlesex,MA,For profit,225319
COURTYARD NURSING CARE CENTER,Middlesex,MA,For profit,225545
D'YOUVILLE SENIOR CARE,Middlesex,MA,Non profit,225515
DEXTER HOUSE HEALTHCARE,Middlesex,MA,For profit,225137
ELIOT CENTER FOR HEALTH & REHABILITATION,Middlesex,MA,For profit,225516
ELMHURST HEALTHCARE (THE),Middlesex,MA,For profit,225659
FAIRHAVEN HEALTHCARE CENTER,Middlesex,MA,Non profit,225458
GLEN RIDGE NURSING CARE CENTER,Middlesex,MA,For profit,225523
GREENWOOD NURSING & REHABILITATION CENTER,Middlesex,MA,For profit,225736
HEATHWOOD HEALTHCARE,Middlesex,MA,For profit,225576
JEANNE JUGAN RESIDENCE,Middlesex,MA,Non profit,225470
LIFE CARE CENTER OF ACTON,Middlesex,MA,For profit,225191
LIFE CARE CENTER OF MERRIMACK VALLEY,Middlesex,MA,For profit,225546
LIFE CARE CENTER OF NASHOBA VALLEY,Middlesex,MA,For profit,225569
LIFE CARE CENTER OF STONEHAM,Middlesex,MA,For profit,225732
MARISTHILL NURSING & REHABILITATION CENTER,Middlesex,MA,Non profit,225408
MARLBOROUGH HILLS REHABILITATION & HLTH CARE CTR,Middlesex,MA,For profit,225063
MARY ANN MORSE NURSING & REHABILITATION,Middlesex,MA,Non profit,225555
MEADOW GREEN NURSING AND REHABILITATION CENTER,Middlesex,MA,For profit,225440
MEDFORD REHABILITATION AND NURSING CENTER,Middlesex,MA,For profit,225339
MELROSE HEALTHCARE,Middlesex,MA,For profit,225329
NEVILLE CENTER AT FRESH POND FOR NURSING & REHAB,Middlesex,MA,Non profit,225378
NORTHWOOD REHABILITATION & HEALTHCARE CENTER,Middlesex,MA,For profit,225298
OAK KNOLL HEALTHCARE CENTER,Middlesex,MA,For profit,225682
PALM SKILLED  NRSING CR & CTR FOR REHAB EXCELLENCE,Middlesex,MA,For profit,225508
PARK AVENUE HEALTH CENTER,Middlesex,MA,For profit,225584
PINE KNOLL NURSING CENTER,Middlesex,MA,For profit,225049
REHABILITATION & NURSING CENTER AT EVERETT (THE),Middlesex,MA,For profit,225300
"RESERVOIR CENTER FOR HEALTH & REHABILITATION, THE",Middlesex,MA,For profit,225326
RIVERBEND OF SOUTH NATICK,Middlesex,MA,For profit,225615
RIVERCREST LONG TERM CARE,Middlesex,MA,Non profit,225080
ROYAL AT WAYLAND REHABILITATION & NURSING CENTER,Middlesex,MA,For profit,225591
ROYAL MEADOW VIEW CENTER,Middlesex,MA,For profit,225478
SANCTA MARIA NURSING FACILITY,Middlesex,MA,Non profit,225573
SEVEN HILLS PEDIATRIC CENTER,Middlesex,MA,Non profit,225781
ST PATRICK'S MANOR,Middlesex,MA,Non profit,225430
STONE REHABILITATION AND SENIOR LIVING,Middlesex,MA,Non profit,225683
SUDBURY PINES EXTENDED CARE,Middlesex,MA,For profit,225531
SUNNY ACRES NURSING HOME,Middlesex,MA,For profit,225494
TIMOTHY DANIELS HOUSE,Middlesex,MA,For profit,225709
TOWN AND COUNTRY HEALTH CARE CENTER,Middlesex,MA,For profit,225537
WAKEFIELD CENTER,Middlesex,MA,For profit,225400
WATERTOWN HEALTH CENTER,Middlesex,MA,For profit,225425
"WATERVIEW LODGE LLC, REHABILITATION & HEALTHCARE",Middlesex,MA,For profit,225598
WEST NEWTON HEALTHCARE,Middlesex,MA,For profit,225324
WESTFORD HOUSE,Middlesex,MA,For profit,225586
WILLOW MANOR,Middlesex,MA,For profit,225511
WILMINGTON REHAB CENTER,Middlesex,MA,For profit,225568
"WINCHESTER NURSING CENTER, INC",Middlesex,MA,For profit,225357
WINGATE AT CHESTNUT HILL,Middlesex,MA,For profit,225756
WINGATE AT WESTON,Middlesex,MA,For profit,225501
"WOBURN NURSING CENTER, INC",Middlesex,MA,For profit,225394
ALLIANCE HEALTH AT BRAINTREE,Norfolk,MA,Non profit,225769
ALLIANCE HEALTH AT MARINA BAY,Norfolk,MA,Non profit,225680
BLUE HILLS HEALTH AND REHABILITATION CENTER,Norfolk,MA,For profit,225444
BRAINTREE MANOR HEALTHCARE,Norfolk,MA,For profit,225445
BRIARWOOD REHABILITATION & HEALTHCARE CENTER,Norfolk,MA,For profit,225437
BRUSH HILL CARE CENTER,Norfolk,MA,For profit,225274
CARE ONE AT BROOKLINE,Norfolk,MA,For profit,225509
CARE ONE AT RANDOLPH,Norfolk,MA,For profit,225356
CARE ONE AT WEYMOUTH,Norfolk,MA,For profit,225634
COMMONS RESIDENCE AT ORCHARD COVE,Norfolk,MA,Non profit,225672
COPLEY AT STOUGHTON - BAYSTATE CONSOLIDATED PROPER,Norfolk,MA,For profit,225653
DEDHAM HEALTHCARE,Norfolk,MA,Non profit,225321
DWYER HOME,Norfolk,MA,Non profit,225739
ELIZABETH SETON,Norfolk,MA,Non profit,225266
ELLIS NURSING HOME (THE),Norfolk,MA,For profit,225211
HANCOCK PARK REHABILITATION AND NURSING CENTER,Norfolk,MA,For profit,225718
HELLENIC NURSING & REHABILITATION CENTER,Norfolk,MA,Non profit,225418
JOHN ADAMS HEALTHCARE CENTER,Norfolk,MA,For profit,225522
JOHN SCOTT HOUSE NURSING & REHABILITATION CENTER,Norfolk,MA,For profit,225054
MAPLES REHABILITATION & NURSING CENTER,Norfolk,MA,For profit,225476
MEDWAY COUNTRY MANOR SKILLED NURSING & REHABILITAT,Norfolk,MA,For profit,225412
NEWBRIDGE ON THE CHARLES SKILLED NURSING FACILITY,Norfolk,MA,Non profit,225774
NEWTON WELLESLEY CENTER FOR ALZHEIMER'S CARE,Norfolk,MA,For profit,225222
NORWOOD HEALTHCARE,Norfolk,MA,For profit,225343
POPE NURSING HOME,Norfolk,MA,For profit,225613
QUINCY HEALTH AND REHABILITATION CENTER LLC,Norfolk,MA,For profit,225263
REVOLUTION CHARLWELL,Norfolk,MA,For profit,225208
ROYAL BRAINTREE NURSING AND REHABILITATION CENTER,Norfolk,MA,For profit,225058
SERENITY HILL NURSING CENTER,Norfolk,MA,For profit,225752
SKILLED NURSING FACILITY AT NORTH HILL (THE),Norfolk,MA,Non profit,225281
THOMAS UPHAM HOUSE,Norfolk,MA,For profit,225645
WALPOLE HEALTHCARE,Norfolk,MA,For profit,225536
WINGATE AT NEEDHAM,Norfolk,MA,For profit,225695
WINGATE AT SHARON,Norfolk,MA,For profit,225134
ALLIANCE HEALTH AT WEST ACRES,Plymouth,MA,Non profit,225259
BAYPATH AT DUXBURY NURSING & REHABILITATION CTR,Plymouth,MA,For profit,225279
BAYPOINTE REHAB CENTER,Plymouth,MA,For profit,225690
BROCKTON HEALTH CENTER,Plymouth,MA,For profit,225221
COLONY CENTER FOR HEALTH & REHABILITATION,Plymouth,MA,For profit,225435
GUARDIAN CENTER (THE),Plymouth,MA,Non profit,225382
HARBOR HOUSE NURSING & REHABILITATION CENTER,Plymouth,MA,For profit,225662
LIFE CARE CENTER OF PLYMOUTH,Plymouth,MA,For profit,225666
LIFE CARE CENTER OF THE SOUTH SHORE,Plymouth,MA,For profit,225282
LIFE CARE CENTER OF WEST BRIDGEWATER,Plymouth,MA,For profit,225704
LINDEN PONDS,Plymouth,MA,Non profit,225773
NEMASKET HEALTHCARE CENTER,Plymouth,MA,For profit,225622
OAKHILL HEALTHCARE,Plymouth,MA,For profit,225145
PLYMOUTH HARBORSIDE HEALTHCARE,Plymouth,MA,For profit,225284
"QUEEN ANNE NURSING HOME, INC",Plymouth,MA,For profit,225254
ROYAL NORWELL NURSING & REHABILITATION CENTER LLC,Plymouth,MA,For profit,225482
SACHEM CENTER FOR HEALTH & REHABILITATION,Plymouth,MA,For profit,225322
SOUTHSHORE HEALTH CARE CENTER,Plymouth,MA,For profit,225215
SOUTHWOOD AT NORWELL NURSING CTR,Plymouth,MA,For profit,225597
ST JOSEPH MANOR HEALTH CARE INC,Plymouth,MA,Non profit,225414
TREMONT HEALTH CARE CENTER,Plymouth,MA,For profit,225488
WEBSTER PARK REHABILITATION AND HEALTHCARE CENTER,Plymouth,MA,For profit,225184
WINGATE AT SILVER LAKE,Plymouth,MA,For profit,225544
"ADVOCATE HEALTHCARE OF EAST BOSTON, LLC",Suffolk,MA,For profit,225413
ARMENIAN NURSING & REHABILITATION CENTER,Suffolk,MA,Non profit,225417
BENJAMIN HEALTHCARE CENTER,Suffolk,MA,Non profit,225654
"BOSTON HOME, INC (THE)",Suffolk,MA,Non profit,225434
"BOSTONIAN NURSING CARE & REHABILITATION CTR, THE",Suffolk,MA,Non profit,225436
BRIGHTON HOUSE REHABILITATION & NURSING CENTER,Suffolk,MA,For profit,225770
EASTPOINTE REHAB CENTER,Suffolk,MA,For profit,225557
GERMAN CENTER FOR EXTENDED CARE,Suffolk,MA,Non profit,225540
KATZMAN FAMILY CENTER FOR LIVING,Suffolk,MA,Non profit,225451
LAUREL RIDGE REHAB AND SKILLED CARE CENTER,Suffolk,MA,Non profit,225469
LEONARD FLORENCE CENTER FOR LIVING,Suffolk,MA,Non profit,225775
LIGHTHOUSE NURSING CARE CENTER,Suffolk,MA,Non profit,225297
MARIAN MANOR,Suffolk,MA,Non profit,225415
MATTAPAN HEALTH & REHABILITATION CENTER,Suffolk,MA,For profit,225532
NORTH END REHABILITATION AND HEALTHCARE CENTER,Suffolk,MA,For profit,225506
PARK PLACE REHABILITATION & SKILLED CARE CENTER,Suffolk,MA,For profit,225375
PARKWAY HEALTH AND REHABILITATION CENTER,Suffolk,MA,For profit,225497
PRESENTATION REHAB AND SKILLED CARE CENTER,Suffolk,MA,Non profit,225486
RECUPERATIVE SERVICES UNIT-HEBREW REHAB CENTER,Suffolk,MA,Non profit,225759
SHERRILL HOUSE,Suffolk,MA,Non profit,225201
SOLDIERS HOME IN MASSACHUSETTS,Suffolk,MA,Government,225110
SPAULDING NURSING & THERAPY CENTER - BRIGHTON,Suffolk,MA,Non profit,225014
ST JOSEPH REHAB & NURSING CARE CENTER,Suffolk,MA,For profit,225493
STONEHEDGE HEALTH CARE CENTER,Suffolk,MA,For profit,225429
WEST REVERE HEALTH CENTER,Suffolk,MA,For profit,225432
WEST ROXBURY HEALTH & REHABILITATION CENTER,Suffolk,MA,For profit,225499
ALLIANCE HEALTH AT BALDWINVILLE,Worcester,MA,Non profit,225388
BEAR MOUNTAIN AT WORCESTER,Worcester,MA,For profit,225219
BEAUMONT AT UNIVERSITY CAMPUS,Worcester,MA,For profit,225594
BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBORO,Worcester,MA,For profit,225513
BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBRIDGE,Worcester,MA,For profit,225248
BEAUMONT REHAB & SKILLED NURSING CTR - WESTBORO,Worcester,MA,For profit,225275
BLAIRE HOUSE OF MILFORD,Worcester,MA,For profit,225260
BLAIRE HOUSE OF WORCESTER,Worcester,MA,For profit,225443
CARE ONE AT MILLBURY,Worcester,MA,For profit,225720
CHRISTOPHER HOUSE OF WORCESTER,Worcester,MA,Non profit,225385
COLEMAN HOUSE,Worcester,MA,For profit,225403
COUNTRYSIDE HEALTH CARE OF MILFORD,Worcester,MA,Government,225463
FITCHBURG HEALTHCARE,Worcester,MA,For profit,225216
HERMITAGE HEALTHCARE (THE),Worcester,MA,For profit,225009
"HIGHLANDS, THE",Worcester,MA,For profit,225315
HOLDEN REHABILITATION & NURSING CENTER,Worcester,MA,For profit,225002
HOLY TRINITY EASTERN ORTHODOX N & R CENTER,Worcester,MA,Non profit,225648
JEWISH HEALTHCARE CENTER,Worcester,MA,Non profit,225173
KEYSTONE CENTER,Worcester,MA,For profit,225355
KNOLLWOOD NURSING CENTER,Worcester,MA,Non profit,225016
LIFE CARE CENTER OF AUBURN,Worcester,MA,For profit,225661
LIFE CARE CENTER OF LEOMINSTER,Worcester,MA,For profit,225038
LUTHERAN REHABILITATION & SKILLED CARE CENTER,Worcester,MA,For profit,225379
LYDIA TAFT HOUSE,Worcester,MA,For profit,225760
MEADOWS OF CENTRAL MASSACHUSETTS (THE),Worcester,MA,For profit,225668
MILFORD CENTER,Worcester,MA,For profit,225562
NOTRE DAME LONG TERM CARE CENTER,Worcester,MA,Non profit,225577
ODD FELLOWS HOME OF MASSACHUSETTS,Worcester,MA,Non profit,225439
PARSONS HILL REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit,225390
RIVER TERRACE REHABILITATION AND HEALTHCARE CTR,Worcester,MA,For profit,225210
SHREWSBURY NURSING & REHABILITATION CENTER,Worcester,MA,For profit,225491
SOUTHBRIDGE REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit,225293
ST CAMILLUS HEALTH CENTER,Worcester,MA,Non profit,225312
ST FRANCIS REHABILITATION & NURSING CENTER,Worcester,MA,For profit,225438
ST MARY HEALTH CARE CENTER,Worcester,MA,Non profit,225305
STERLING VILLAGE,Worcester,MA,For profit,225452
WACHUSETT MANOR,Worcester,MA,For profit,225533
WEBSTER MANOR REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit,225283
WEST SIDE HOUSE LTC FACILITY,Worcester,MA,For profit,225500
WESTBOROUGH HEALTHCARE,Worcester,MA,For profit,225242
WORCESTER HEALTH CENTER,Worcester,MA,For profit,225467
WORCESTER REHABILITATION & HEALTH CARE CENTER,Worcester,MA,For profit,225199
CUMBERLAND HEALTHCARE CENTER,Allegany,MD,For profit,215055
MORAN  NURSING AND REHABILITATION CENTER,Allegany,MD,For profit,215240
STERLING CARE AT FROSTBURG VILLAGE,Allegany,MD,For profit,215115
BAYWOODS OF ANNAPOLIS,Anne Arundel,MD,For profit,215345
CROFTON CONVALESCENT CENTER,Anne Arundel,MD,For profit,215120
FAIRFIELD NURSING & REHABILITATION CENTER,Anne Arundel,MD,For profit,215236
FUTURE CARE CHESAPEAKE,Anne Arundel,MD,For profit,215186
GINGER COVE,Anne Arundel,MD,Non profit,215174
HERITAGE HARBOUR HEALTH AND REHABILITATION CENTER,Anne Arundel,MD,For profit,215325
MARLEY NECK HEALTH AND REHABILITATION CENTER,Anne Arundel,MD,For profit,215138
NORTH ARUNDEL HEALTH AND REHABILITATION CENTER,Anne Arundel,MD,For profit,215316
SEVERNA PARK CENTER,Anne Arundel,MD,For profit,215143
SOUTH RIVER HEALTHCARE CENTER,Anne Arundel,MD,For profit,215297
SPA CREEK CENTER,Anne Arundel,MD,For profit,215258
WAUGH CHAPEL CENTER,Anne Arundel,MD,For profit,215148
AUGSBURG VILLAGE,Baltimore,MD,Non profit,215193
AUTUMN LAKE HEALTHCARE AT PIKESVILLE,Baltimore,MD,For profit,215082
AUTUMN LAKE HEALTHCARE AT RIVERVIEW,Baltimore,MD,For profit,215203
AUTUMN RIDGE AT NORTH OAKS,Baltimore,MD,For profit,215229
CATONSVILLE COMMONS,Baltimore,MD,For profit,215097
CHAPEL HILL NURSING CENTER,Baltimore,MD,For profit,215220
CHESTNUT GRN HLTH CTR BLAKEHUR,Baltimore,MD,For profit,215255
"COURTLAND, LLC",Baltimore,MD,For profit,215128
CROMWELL CENTER,Baltimore,MD,For profit,215129
FOREST HAVEN NURSING AND REHABILITATION CTR,Baltimore,MD,For profit,215252
FRANKLIN WOODS CENTER,Baltimore,MD,For profit,215261
FREDERICK VILLA NURSING & REHAB CENTER,Baltimore,MD,For profit,215178
FUTURE CARE CHERRYWOOD,Baltimore,MD,For profit,215192
FUTURE CARE NORTHPOINT,Baltimore,MD,For profit,215147
FUTURE CARE OLD COURT,Baltimore,MD,For profit,215118
GLEN MEADOWS RETIREMENT COM.,Baltimore,MD,Non profit,215278
HERITAGE CENTER,Baltimore,MD,For profit,215135
KING DAVID NURSING AND REHABILITATION CENTER,Baltimore,MD,For profit,215022
LOCH RAVEN CENTER,Baltimore,MD,For profit,215090
LORIEN MAYS CHAPEL,Baltimore,MD,For profit,215351
MANOR CARE HEALTH SERVICES - ROLAND PARK,Baltimore,MD,For profit,215301
MANOR CARE HEALTH SERVICES - ROSSVILLE,Baltimore,MD,For profit,215109
MANOR CARE HEALTH SERVICES - RUXTON,Baltimore,MD,Non profit,215077
MANOR CARE HEALTH SERVICES -TOWSON,Baltimore,MD,Non profit,215054
"MARIA HEALTH CARE CENTER, INC.",Baltimore,MD,Non profit,215300
MARYLAND MASONIC HOMES LTD,Baltimore,MD,Non profit,215361
MEADOW PARK REHABILITATION AND HEALTHCARE CENTER,Baltimore,MD,For profit,215347
MULTI-MEDICAL CENTER,Baltimore,MD,For profit,215096
OAK CREST VILLAGE,Baltimore,MD,Non profit,215308
OAKWOOD CARE CENTER,Baltimore,MD,For profit,215181
ORCHARD HILL REHABILITATION AND HEALTHCARE CENTER,Baltimore,MD,For profit,215069
PATAPSCO HEALTH AND REHABILITATION,Baltimore,MD,For profit,215084
RIDGEWAY MANOR NURSING & REHABILITATION CENTER,Baltimore,MD,For profit,215227
"STELLA MARIS, INC.",Baltimore,MD,Non profit,215117
SUMMIT PARK HEALTH AND REHABILITATION CENTER,Baltimore,MD,For profit,215326
ARLINGTON WEST CARE CENTER,Baltimore City,MD,For profit,215349
AUTUMN LAKE HEALTHCARE AT ALICE MANOR,Baltimore City,MD,For profit,215215
AUTUMN LAKE HEALTHCARE AT BRIDGEPARK,Baltimore City,MD,For profit,215195
BLUE POINT HEALTHCARE CENTER,Baltimore City,MD,For profit,215340
CATON MANOR,Baltimore City,MD,For profit,215085
FAYETTE HEALTH AND REHABILITATION CENTER,Baltimore City,MD,For profit,215183
FUTURE CARE CANTON HARBOR,Baltimore City,MD,For profit,215176
FUTURE CARE CHARLES VILLAGE,Baltimore City,MD,For profit,215324
FUTURE CARE COLD SPRING,Baltimore City,MD,For profit,215253
FUTURE CARE HOMEWOOD,Baltimore City,MD,For profit,215249
FUTURE CARE IRVINGTON,Baltimore City,MD,For profit,215219
FUTURE CARE SANDTOWN-WINCHESTER,Baltimore City,MD,For profit,215271
"GSNH OPERATOR, LLC",Baltimore City,MD,For profit,215241
KESWICK MULTI-CARE CENTER,Baltimore City,MD,Non profit,215037
LEVINDALE HEBREW GER CTR & HSP,Baltimore City,MD,Non profit,215033
"LOCHEARN NURSING HOME, LLC",Baltimore City,MD,For profit,215207
LONG GREEN CENTER,Baltimore City,MD,For profit,215031
POST-ACUTE CARE CENTER,Baltimore City,MD,For profit,215330
ROLAND PARK PLACE,Baltimore City,MD,Non profit,215154
ST. ELIZABETH REHAB. & NSG. CE,Baltimore City,MD,Non profit,215044
THE NURSING AND REHAB CENTER AT STADIUM PLACE,Baltimore City,MD,For profit,215356
WESTGATE HILLS REHAB & HEALTHCARE CTR,Baltimore City,MD,For profit,215299
CALVERT COUNTY NURSING CTR.,Calvert,MD,For profit,215188
BIRCH MANOR CENTER FOR REHABILITATION & HEALTHCARE,Carroll,MD,For profit,215136
BRINTON WOODS NURSING & REHABILITATION CENTER,Carroll,MD,For profit,215247
CARROLL LUTHERAN VILLAGE,Carroll,MD,Non profit,215133
"FAIRHAVEN, INC.",Carroll,MD,Non profit,215130
LORIEN HEALTH SYSTEMS MT AIRY,Carroll,MD,For profit,215335
PLEASANT VIEW NSG HOME,Carroll,MD,For profit,215268
WESTMINSTER HEALTHCARE CENTER,Carroll,MD,For profit,215094
CALVERT MANOR CENTER FOR REHABILITATION AND HEALTH,Cecil,MD,For profit,215189
LAPLATA CENTER,Charles,MD,For profit,215151
RESTORE HEALTH REHABILITATION CENTER,Charles,MD,For profit,215362
SAGEPOINT NURSING AND REHABILITATION CENTER,Charles,MD,Non profit,215106
WALDORF  CENTER,Charles,MD,For profit,215273
CHESAPEAKE WOODS CENTER,Dorchester,MD,For profit,215221
BALLENGER CREEK CENTER,Frederick,MD,For profit,215001
CITIZENS CARE AND REHABILITATION CENTER OF FREDERI,Frederick,MD,Government,215105
FREDERICK HEALTH & REHABILITATION CENTER,Frederick,MD,For profit,215184
GLADE VALLEY CENTER,Frederick,MD,For profit,215313
HOMEWOOD AT CRUMLAND FARMS,Frederick,MD,Non profit,215245
NORTHAMPTON MANOR NURSING AND REHABILITATION CENTE,Frederick,MD,For profit,215217
BEL AIR HEALTH AND REHABILITATION CENTER,Harford,MD,For profit,215312
FOREST HILL HEALTH AND REHABILITATION CENTER,Harford,MD,For profit,215194
ELLICOTT CITY HEALTHCARE CENTER,Howard,MD,For profit,215160
LORIEN HEALTH SYSTEMS - COLUMBIA,Howard,MD,For profit,215112
LORIEN NURSING & REHAB CTR - ELKRIDGE,Howard,MD,For profit,215357
VANTAGE HOUSE,Howard,MD,Non profit,215344
AUTUMN LAKE HEALTHCARE AT CHESTERTOWN,Kent,MD,For profit,215260
RESORTS AT CHESTER RIVER MANOR CORP,Kent,MD,For profit,215262
ALTHEA WOODLAND NURSING HOME,Montgomery,MD,For profit,215228
ARCOLA HEALTH AND REHABILITATION CENTER,Montgomery,MD,For profit,215014
AUTUMN LAKE HEALTHCARE AT OAKVIEW,Montgomery,MD,For profit,215338
BEDFORD COURT HEALTHCARE CENT.,Montgomery,MD,For profit,215246
BEL PRE HEALTHCARE CENTER,Montgomery,MD,For profit,215065
BETHESDA HEALTH AND REHABILITATION,Montgomery,MD,For profit,215187
BRIGHTON GARDENS OF TUCKERMAN LANE,Montgomery,MD,For profit,215320
BROOKE GROVE REHAB. & NSG CTR,Montgomery,MD,Non profit,215200
CADIA HEALTHCARE - SPRINGBROOK,Montgomery,MD,For profit,215052
CADIA HEALTHCARE - WHEATON,Montgomery,MD,For profit,215025
CARRIAGE HILL BETHESDA,Montgomery,MD,For profit,215234
COLLINGSWOOD REHABILITATION AND HEALTHCARE CENTER,Montgomery,MD,For profit,215092
FAIRLAND CENTER,Montgomery,MD,For profit,215015
FOX CHASE REHABILITATION AND NURSING CENTER,Montgomery,MD,For profit,215197
FRIENDS NURSING HOME,Montgomery,MD,Non profit,215211
HEBREW HOME OF GREATER WASHINGTON,Montgomery,MD,Non profit,215071
INGLESIDE AT KING FARM,Montgomery,MD,For profit,215353
